2025-01-30 11:16:36,082 - INFO - Starting Telegram Scraper
2025-01-30 11:16:36,087 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-01-30 11:16:40,105 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,709 - INFO - Phone migrated to 4
2025-01-30 11:16:51,834 - INFO - Reconnecting to new data center 4
2025-01-30 11:16:51,976 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-01-30 11:16:51,977 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,978 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-01-30 11:16:53,584 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-01-30 11:22:42,806 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:43,317 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:43,796 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:44,011 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:44,610 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:45,213 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:45,389 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:45,876 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:46,206 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:48,131 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:48,659 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:50,164 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:50,352 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:51,260 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:52,034 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:52,415 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:52,705 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:53,563 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:55,703 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
